,q nm,all,1-1,2-2
294,736.25,138.7041,169.91257,241.65338
295,738.75,126.745186,168.76399,150.01242
296,741.25,131.36562,67.05121,119.20213
297,743.75,108.73678,99.901924,59.201134
298,746.25,129.61137,148.85059,58.80516
299,748.75,96.560486,98.572174,87.61969
300,751.25,111.90539,130.5563,203.08755
301,753.75,158.80629,194.53772,115.2816
302,756.25,99.912895,64.417534,114.52005
303,758.75,141.04794,111.98947,227.53413
304,761.25,140.12288,111.25498,169.53137
305,763.75,103.11648,63.158848,140.35298
306,766.25,92.2,125.49445,111.55061
307,768.75,91.60141,93.50978,138.533
308,771.25,161.79263,139.35657,220.21774
309,773.75,85.39805,107.68946,164.0982
310,776.25,84.84894,106.997025,54.347687
311,778.75,133.89618,136.6857,107.998566
312,781.25,133.04042,135.81212,134.1354
313,783.75,127.29675,74.97045,106.624626
314,786.25,107.0293,119.191734,79.46114
315,788.75,106.35176,103.632545,157.91623
316,791.25,96.07341,102.9787,104.613266
317,793.75,66.8285,73.09369,103.95545
318,796.25,132.81856,188.85141,103.30332
319,798.75,122.56057,144.36223,153.98634
320,801.25,93.69013,57.385212,178.53174
321,803.75,111.72966,114.05737,126.73041
322,806.25,111.03808,113.351395,125.94598
323,808.75,133.34277,84.488754,200.2696
324,811.25,141.66139,111.958206,149.27759
325,813.75,163.50122,194.72543,173.08925
326,816.25,94.791954,27.647657,98.30277
327,818.75,89.72772,123.65604,73.27763
328,821.25,71.34592,54.624226,72.83229
329,823.75,70.91321,40.7197,72.390564
330,826.25,74.89069,80.94804,71.953804
331,828.75,87.57519,80.45971,95.35965
332,831.25,147.98448,146.62436,213.27177
333,833.75,151.42502,105.99752,282.66
334,836.25,107.5141,118.53432,93.65673
335,838.75,98.3243,91.64467,116.374176
336,841.25,101.99081,104.11563,92.54722
337,843.75,109.83647,103.49976,91.99978
338,846.25,92.3897,167.19388,45.728233
339,848.75,133.59515,153.4257,159.10811
340,851.25,103.758835,76.26276,112.98185
341,853.75,115.529976,63.18047,134.78497
342,856.25,106.652626,87.93715,89.33297
343,858.75,101.954704,162.3629,66.61041
344,861.25,154.07248,173.83838,176.5977
345,863.75,116.90187,123.45243,109.73548
346,866.25,120.23672,110.46749,109.10368
347,868.75,147.43922,146.44304,173.5621
348,871.25,118.85948,121.33574,172.56636
349,873.75,102.42366,96.51461,42.89538
350,876.25,121.42389,71.97304,170.60274
351,878.75,77.89353,95.419586,63.613045
352,881.25,81.324425,71.15888,168.67288
353,883.75,154.02841,188.68483,146.75485
354,886.25,122.52832,105.5371,208.46832
355,888.75,98.99529,139.92606,41.459564
356,891.25,109.799576,127.54736,41.22743
357,893.75,143.07121,138.36494,102.49254
358,896.25,101.08936,126.127716,101.92138
359,898.75,141.48416,193.84264,141.89786
360,901.25,96.26819,90.714264,100.79362
361,903.75,147.28697,157.87323,140.33174
362,906.25,87.88472,89.71567,59.810436
363,908.75,112.89421,66.91714,99.13649
364,911.25,112.27606,133.10147,59.1562
365,913.75,144.08096,132.37439,176.49918
366,916.25,118.21843,153.5944,78.016205
367,918.75,92.635956,109.11449,135.7869
368,921.25,74.41565,75.96599,57.87884
369,923.75,77.53764,64.76156,38.377216
370,926.25,108.66881,96.61885,114.51121
371,928.75,108.084785,117.455055,208.80896
372,931.25,131.7803,159.30681,94.40402
373,933.75,148.32213,179.5819,112.678825
374,936.25,89.20522,52.53674,130.75807
375,938.75,109.20661,125.416985,111.48175
376,941.25,98.44372,114.35597,55.445312
377,943.75,155.32664,155.11563,202.2248
378,946.25,90.68822,123.43676,36.57385
379,948.75,93.552536,61.393856,127.33539
380,951.25,89.73728,142.4995,36.190346
381,953.75,105.79917,101.25313,198.0061
382,956.25,85.512634,70.50681,125.34543
383,958.75,101.426384,80.15957,124.69264
384,961.25,84.62539,79.743164,106.324196
385,963.75,100.37625,89.24583,123.40162
386,966.25,83.75188,98.650055,87.68893
387,968.75,105.75262,98.141655,191.92143
388,971.25,95.64465,97.63727,121.50413
389,973.75,114.18485,126.27737,120.880875
390,976.25,126.22313,106.30355,171.80371
391,978.75,153.83409,134.60484,119.648735
392,981.25,96.82832,133.91983,85.02846
393,983.75,121.19767,152.274,169.19333
394,986.25,108.21651,151.50313,84.168396
395,988.75,58.44937,28.263351,50.245953
396,991.25,110.18859,74.98946,149.97891
397,993.75,85.27175,102.59258,99.4837
398,996.25,130.2963,157.75702,115.482254
399,998.75,138.68945,129.26762,180.5643
